Local;logradouro;bairro;fone;como_usar;horario;latitude;longitude
UBT José Carneiro Leão;"R. Marquês de Alegrete, 42";Pina;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 12a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:40;-8.087069;-34.889817
UBT José Dustan;"Av. Mauricio de Nassau, s/n, Caiara";Iputinga;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.038411;-34.930698
UBT Mário Monteiro;"R. Nova Descoberta, 20";Macaxeira;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 11a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:39;-8.019537;-34.926637
UBT Mário Ramos;"R. Oscár de Barros, 175";Casa Amarela;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 10a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:38;-8.022673;-34.916137
UBT Olinto de Oliveira;"R. Francisco de Paula Machado, 47";Cordeiro;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 9a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:37;-8.054210;-34.923961
UBT PAM CEASA;"Br. 101 Girador do Curado, 11606";Jardim São Paulo;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 14a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:42;-8.072668;-34.943529
UBT Professor Monteiro de Moraes;"Av. Beberibe, 4510";Beberibe;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.003784;-34.896812
Upinha Nossa Senhora do Pilar;Rua do Brum;Recife;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.059037;-34.872083
Upinha UR 04/05;"Rua Cap. Vicente Curado, 33";Cohab;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.131701;-34.948293
Upinha Vila Arraes;"Av. Afonso Olindense, 1513";Várzea;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.044029;-34.958026
USF Coque Berilo Pernambucano;"Rua Guapirama, 65";Joana Bezerra;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.071174;-34.899936
Centro de Saúde Dom Miguel de Lima Valverde;"R. Felíciano José de Farias, 195";Boa Viagem;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 3a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:31;-8.133141;-34.904525
Centro Médico Sen. José Ermírio de Moraes;"Av. Dezessete de Agosto, 2388";Casa Forte;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 4a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:32;-8.028501;-34.925650
